property_address,status
1241 20TH AVE,"Work Complete, CFC Issued"
561 WEBSTER ST,"Permit Submitted, CFC Required by 9/15/20"
1025 JACKSON ST,"Work Complete, CFC Issued"
38 GARDENSIDE DR,"Work Complete, CFC Issued"
550 OCTAVIA ST,Non-Compliant
1501 HYDE ST,"Permit Submitted, CFC Required by 9/15/20"
5 PRADO ST,"Work Complete, CFC Issued"
1985 ELLIS ST,"Work Complete, CFC Issued"
1618 MASON ST,"Work Complete, CFC Issued"
90 NIDO AV,"Work Complete, CFC Issued"
3124 FULTON ST,"Work Complete, CFC Issued"
510 STEINER ST,"Work Complete, CFC Issued"
2217 MISSION ST,"Work Complete, CFC Issued"
728 PAGE ST,"Work Complete, CFC Issued"
949 FILBERT ST,"Work Complete, CFC Issued"
500 CHURCH ST,"Work Complete, CFC Issued"
1801 PIERCE ST,"Work Complete, CFC Issued"
1250 SACRAMENTO ST,"Work Complete, CFC Issued"
205 16TH AV,"Work Complete, CFC Issued"
636 OCTAVIA ST,"Work Complete, CFC Issued"
100 SHOTWELL ST,"Permit Submitted, CFC Required by 9/15/20"
219 07TH ST,"Work Complete, CFC Issued"
1600 VALLEJO ST,"Permit Submitted, CFC Required by 9/15/20"
1457 CHESTNUT ST,"Work Complete, CFC Issued"
115 DUBOCE AV,"Work Complete, CFC Issued"
2701 SACRAMENTO ST,"Work Complete, CFC Issued"
3049 SACRAMENTO ST,"Work Complete, CFC Issued"
1405 15TH ST,Non-Compliant
901 STANYAN ST,"Permit Submitted, CFC Required by 9/15/20"
3600 21ST ST,"Work Complete, CFC Issued"
4782 MISSION ST,"Work Complete, CFC Issued"
1351 NOE ST,"Work Complete, CFC Issued"
875 BROADWAY,"Work Complete, CFC Issued"
1895 08TH AV,Non-Compliant
70 TERRA VISTA AV,"Work Complete, CFC Issued"
66 LANSING ST,"Work Complete, CFC Issued"
54 WOODWARD ST,"Work Complete, CFC Issued"
1430 CALIFORNIA ST,"Permit Submitted, CFC Required by 9/15/20"
1090 FRANCISCO ST,"Work Complete, CFC Issued"
537 14TH ST,"Work Complete, CFC Issued"
1649 12TH AV,"Work Complete, CFC Issued"
1435 FULTON ST,"Work Complete, CFC Issued"
501 28TH AV,"Work Complete, CFC Issued"
237 CUMBERLAND ST,Non-Compliant
146 WOOD ST,Non-Compliant
3836 GEARY BL,"Permit Submitted, CFC Required by 9/15/20"
1285 OAK ST,Non-Compliant
517 ARGUELLO BLVD,"Work Complete, CFC Issued"
475 DOLORES ST,"Permit Submitted, CFC Required by 9/15/20"
287 SANCHEZ ST,"Work Complete, CFC Issued"
2630 22ND ST,"Work Complete, CFC Issued"
600 LAUREL ST,"Work Complete, CFC Issued"
1250 HYDE ST,Non-Compliant
1327 GRANT AV,"Permit Submitted, CFC Required by 9/15/20"
595 ARGUELLO BL,Non-Compliant
1601 SACRAMENTO ST,"Work Complete, CFC Issued"
461 CENTRAL AV,"Work Complete, CFC Issued"
180 CLINTON PK,"Work Complete, CFC Issued"
1761 VALLEJO ST,"Work Complete, CFC Issued"
422 LYON ST,Non-Compliant
2298 GREEN ST,"Work Complete, CFC Issued"
563 CAPP ST,"Work Complete, CFC Issued"
132 06TH ST,"Work Complete, CFC Issued"
707 JERROLD AV,Non-Compliant
11 NAGLEE AV,"Work Complete, CFC Issued"
2211 CASTRO ST,"Work Complete, CFC Issued"
4845 CALIFORNIA ST,"Work Complete, CFC Issued"
1369 WALLER ST,"Work Complete, CFC Issued"
130 BEMIS ST,"Work Complete, CFC Issued"
2642 GOUGH ST,"Work Complete, CFC Issued"
255 CENTRAL AV,"Work Complete, CFC Issued"
2190 GROVE ST,"Work Complete, CFC Issued"
2100 FELL ST,"Work Complete, CFC Issued"
555 UNION ST,"Permit Submitted, CFC Required by 9/15/20"
709 LINCOLN WY,Non-Compliant
150 DOWNEY ST,Non-Compliant
1970 SACRAMENTO ST,"Work Complete, CFC Issued"
101 SANCHEZ ST,"Work Complete, CFC Issued"
842 WALLER ST,"Work Complete, CFC Issued"
1533 15TH ST,"Work Complete, CFC Issued"
1516 LARKIN ST,"Permit Submitted, CFC Required by 9/15/20"
1731 LARKIN ST,"Work Complete, CFC Issued"
156 CENTRAL AV,"Work Complete, CFC Issued"
909 BUENA VISTA WEST AV,Non-Compliant
1535 JACKSON ST,Non-Compliant
2595 43RD AV,Non-Compliant
145 HENRY ST,Non-Compliant
90 TERRA VISTA AV,"Work Complete, CFC Issued"
1720 IRVING ST,"Work Complete, CFC Issued"
74 PAGE ST,Non-Compliant
637 CASTRO ST,"Work Complete, CFC Issued"
387 UNION ST,Non-Compliant
1720 MISSION ST,"Work Complete, CFC Issued"
1555 CHESTNUT ST,Non-Compliant
5172 03RD ST,"Work Complete, CFC Issued"
2433 LARKIN ST,"Work Complete, CFC Issued"
226 06TH ST,Non-Compliant
1950 FRANKLIN ST,"Work Complete, CFC Issued"
2332 STEINER ST,"Work Complete, CFC Issued"
324 BARTLETT ST,Non-Compliant
1139 BROADWAY,"Work Complete, CFC Issued"
9 PALM AV,"Work Complete, CFC Issued"
1445 MASON ST,"Work Complete, CFC Issued"
318 ARBOR ST,"Work Complete, CFC Issued"
88 CASTRO ST,Non-Compliant
1790 27TH AV,"Work Complete, CFC Issued"
35 CASA WY,"Work Complete, CFC Issued"
65 LIBERTY ST,"Work Complete, CFC Issued"
1685 HAIGHT ST,"Permit Submitted, CFC Required by 9/15/20"
1701 TURK ST,"Work Complete, CFC Issued"
3834 SACRAMENTO ST,"Work Complete, CFC Issued"
1031 SCOTT ST,"Work Complete, CFC Issued"
1499 UNION ST,"Work Complete, CFC Issued"
320 PENNSYLVANIA AV,"Work Complete, CFC Issued"
15 PROSPER ST,Non-Compliant
896 FILLMORE ST,"Work Complete, CFC Issued"
1901 CHESTNUT ST,"Permit Submitted, CFC Required by 9/15/20"
36 OAKWOOD ST,"Work Complete, CFC Issued"
3360 SCOTT ST,"Work Complete, CFC Issued"
2379 27TH AV,"Work Complete, CFC Issued"
1280 GREAT HY,"Work Complete, CFC Issued"
1030 LAKE ST,Non-Compliant
3665 FILLMORE ST,"Work Complete, CFC Issued"
324 PENNSYLVANIA AV,"Work Complete, CFC Issued"
3312 17TH ST,Non-Compliant
1301 STOCKTON ST,"Permit Submitted, CFC Required by 9/15/20"
275 GRAND VIEW AV,"Work Complete, CFC Issued"
838 BAY ST,Non-Compliant
3535 FILLMORE ST,"Permit Submitted, CFC Required by 9/15/20"
65 BRADY ST,Non-Compliant
2 LUPINE AV,"Work Complete, CFC Issued"
1865 OAK ST,"Work Complete, CFC Issued"
901 VALLEJO ST,Non-Compliant
776 41ST AV,"Work Complete, CFC Issued"
874 FELL ST,Non-Compliant
1520 GENEVA AVE,"Permit Submitted, CFC Required by 9/15/20"
1273 11TH AV,"Work Complete, CFC Issued"
1831 PACIFIC AV,"Work Complete, CFC Issued"
266 08TH AV,Non-Compliant
3559 JACKSON ST,"Work Complete, CFC Issued"
240 OAK ST,"Work Complete, CFC Issued"
595 12TH AV,"Work Complete, CFC Issued"
1360 TAYLOR ST,"Work Complete, CFC Issued"
2100 MASON ST,"Work Complete, CFC Issued"
1324 JACKSON ST,"Work Complete, CFC Issued"
999 FELL ST,"Work Complete, CFC Issued"
40 PEREGO TR,"Work Complete, CFC Issued"
4141 18TH ST,"Permit Submitted, CFC Required by 9/15/20"
2206 GREENWICH ST,"Work Complete, CFC Issued"
54 SUMNER ST,"Permit Submitted, CFC Required by 9/15/20"
2350 UNION ST,Non-Compliant
2511 SACRAMENTO ST,Non-Compliant
1741 POLK ST,"Permit Submitted, CFC Required by 9/15/20"
611 MINNA ST,Non-Compliant
2010 VALLEJO ST,"Work Complete, CFC Issued"
2221 LARKIN ST,"Work Complete, CFC Issued"
999 LAGUNA ST,"Work Complete, CFC Issued"
2088 BRODERICK ST,"Work Complete, CFC Issued"
152 CARL ST,"Work Complete, CFC Issued"
855 47TH AV,Non-Compliant
295 MONTEREY BL,"Work Complete, CFC Issued"
956 VALENCIA ST,"Permit Submitted, CFC Required by 9/15/20"
335 02ND AV,"Work Complete, CFC Issued"
10 CASTLE MANOR AV,"Work Complete, No CFC Issued yet"
1142 KEARNY ST,"Work Complete, CFC Issued"
267 SAN JOSE AV,"Work Complete, CFC Issued"
1302 WILLARD ST,"Work Complete, CFC Issued"
3025 STEINER ST,"Work Complete, CFC Issued"
150 28TH ST,"Work Complete, CFC Issued"
247 CENTRAL AV,"Work Complete, CFC Issued"
360 CASTRO ST,"Work Complete, CFC Issued"
1952 McALLISTER ST,"Work Complete, CFC Issued"
1808 FULTON ST,"Work Complete, CFC Issued"
473 10TH AV,"Work Complete, CFC Issued"
1107 TURK ST,"Work Complete, CFC Issued"
3579 19TH ST,"Work Complete, CFC Issued"
1101 GREENWICH ST,"Work Complete, CFC Issued"
234 19TH AV,"Work Complete, CFC Issued"
1539 GREENWICH ST,"Work Complete, CFC Issued"
101 PARNASSUS AV,"Work Complete, CFC Issued"
89 WALTER ST,"Work Complete, CFC Issued"
624 SOUTH VAN NESS AV,"Work Complete, CFC Issued"
1608 LARKIN ST,"Work Complete, CFC Issued"
55 GLENDALE ST,"Work Complete, CFC Issued"
120 10TH ST,"Work Complete, CFC Issued"
322 30TH AV,Non-Compliant
1937 PAGE ST,"Work Complete, CFC Issued"
865 47TH AV,"Work Complete, CFC Issued"
84 CHENERY ST,"Permit Submitted, CFC Required by 9/15/20"
331 JUDAH ST,"Work Complete, CFC Issued"
3735 ANZA ST,"Work Complete, CFC Issued"
795 ASHBURY ST,"Work Complete, CFC Issued"
454 LOMBARD ST,"Work Complete, CFC Issued"
1813 15TH ST,"Work Complete, CFC Issued"
1869 STOCKTON ST,"Work Complete, CFC Issued"
48 HAIGHT ST,"Work Complete, CFC Issued"
3421 ANZA ST,"Work Complete, CFC Issued"
1530 LEAVENWORTH ST,"Work Complete, CFC Issued"
2266 WASHINGTON ST,"Work Complete, CFC Issued"
1795 38TH AV,"Work Complete, CFC Issued"
1823 POWELL ST,"Permit Submitted, CFC Required by 9/15/20"
340 SPRUCE ST,"Work Complete, CFC Issued"
3800 18TH ST,"Work Complete, CFC Issued"
1001 POWELL ST,Non-Compliant
45 LINCOLN WY,"Work Complete, CFC Issued"
2152 PINE ST,Non-Compliant
1231 19TH AV,Non-Compliant
2610 LAKE ST,"Work Complete, CFC Issued"
1661 LEAVENWORTH ST,"Work Complete, CFC Issued"
155 24TH AV,"Work Complete, CFC Issued"
1427 LARKIN ST,"Work Complete, CFC Issued"
301 COLUMBUS AV,Non-Compliant
1595 26TH AV,"Work Complete, CFC Issued"
2936 POLK ST,"Work Complete, CFC Issued"
1322 04TH AV,"Work Complete, CFC Issued"
228 DIAMOND ST,"Work Complete, CFC Issued"
2439 LOMBARD ST,"Work Complete, CFC Issued"
718 BRODERICK ST,Non-Compliant
735 11TH AV,"Work Complete, CFC Issued"
484 GUERRERO ST,Non-Compliant
814 CORBETT AV,"Work Complete, CFC Issued"
1429 LEAVENWORTH ST,"Work Complete, CFC Issued"
850 OAK ST,"Work Complete, CFC Issued"
85 PALM AV,"Work Complete, CFC Issued"
1655 SACRAMENTO ST,"Work Complete, CFC Issued"
1149 JACKSON ST,"Work Complete, CFC Issued"
549 FELL ST,"Work Complete, CFC Issued"
445 24TH AV,"Work Complete, CFC Issued"
490 COLLINGWOOD ST,Non-Compliant
230 12TH AV,"Work Complete, CFC Issued"
159 CHATTANOOGA ST,Non-Compliant
1240 GROVE ST,Non-Compliant
3182 24TH ST,"Permit Submitted, CFC Required by 9/15/20"
2555 MARKET ST,"Work Complete, CFC Issued"
910 BAY ST,Non-Compliant
170 ALBION ST,"Work Complete, CFC Issued"
660 CLIPPER ST,"Work Complete, CFC Issued"
1798 GREAT HY,"Permit Submitted, CFC Required by 9/15/20"
747 LYON ST,"Work Complete, CFC Issued"
1635 CLAY ST,"Work Complete, CFC Issued"
2170 FILBERT ST,"Work Complete, CFC Issued"
422 ARGUELLO BL,"Work Complete, CFC Issued"
136 GUERRERO ST,"Work Complete, CFC Issued"
423 34TH AV,"Work Complete, CFC Issued"
1632 TAYLOR ST,"Work Complete, CFC Issued"
1050 CLAY ST,Non-Compliant
40 CAPRA WY,"Work Complete, CFC Issued"
155 COLE ST,"Work Complete, CFC Issued"
888 GREENWICH ST,"Work Complete, CFC Issued"
923 EDDY ST,"Work Complete, CFC Issued"
1380 FILBERT ST,Non-Compliant
875 VERMONT ST,Non-Compliant
1580 FILBERT ST,"Work Complete, CFC Issued"
1508 TAYLOR ST,Non-Compliant
161 DOLORES ST,"Work Complete, CFC Issued"
1926 MASON ST,"Work Complete, CFC Issued"
1995 CHESTNUT ST,"Work Complete, CFC Issued"
2390 CHESTNUT ST,"Work Complete, CFC Issued"
3021 ANZA ST,Non-Compliant
924 DIVISADERO ST,Non-Compliant
1338 STEVENSON ST,"Work Complete, CFC Issued"
175 ALHAMBRA ST,"Work Complete, CFC Issued"
122 GUERRERO ST,Non-Compliant
1019 UNION ST,"Work Complete, CFC Issued"
2240 PACIFIC AV,"Work Complete, CFC Issued"
756 PAGE ST,"Permit Submitted, CFC Required by 9/15/20"
3662 MISSION ST,"Work Complete, CFC Issued"
1818 HYDE ST,"Work Complete, CFC Issued"
1501 LEAVENWORTH ST,Non-Compliant
2727 JACKSON ST,"Work Complete, CFC Issued"
1435 BAY ST,"Work Complete, CFC Issued"
4334 FULTON ST,"Work Complete, CFC Issued"
2121 FILLMORE ST,"Work Complete, CFC Issued"
1263 11TH AV,Non-Compliant
2000 GREENWICH ST,"Work Complete, CFC Issued"
1848 STOCKTON ST,"Work Complete, CFC Issued"
2531 15TH ST,"Work Complete, CFC Issued"
3822 19TH ST,"Work Complete, CFC Issued"
258 WEST PORTAL AV,"Permit Submitted, CFC Required by 9/15/20"
1038A PINE ST,"Work Complete, CFC Issued"
520 BARLETT ST,"Work Complete, CFC Issued"
1230 CLAY ST,"Work Complete, CFC Issued"
1190 HAIGHT ST,"Work Complete, CFC Issued"
2001 STOCKTON ST,"Work Complete, CFC Issued"
107 DOLORES ST,"Work Complete, CFC Issued"
490 31ST AV,"Work Complete, CFC Issued"
6324 GEARY BL,"Work Complete, CFC Issued"
3151 CALIFORNIA ST,Non-Compliant
733 FILLMORE ST,"Permit Submitted, CFC Required by 9/15/20"
1501 SACRAMENTO ST,"Work Complete, CFC Issued"
1392 FUNSTON AV,"Work Complete, CFC Issued"
59 LANDERS ST,"Work Complete, CFC Issued"
1229 20TH AV,"Work Complete, CFC Issued"
3326 SAN BRUNO AV,"Work Complete, CFC Issued"
453 UNION ST,"Work Complete, CFC Issued"
85 HENRY ST,"Work Complete, CFC Issued"
310 GRAYSTONE TR,Non-Compliant
773 COLE ST,"Work Complete, CFC Issued"
91 06TH AV,"Work Complete, CFC Issued"
1610 LOMBARD ST,"Work Complete, CFC Issued"
136 FILLMORE ST,"Work Complete, CFC Issued"
2429 BRYANT ST,Non-Compliant
819 LOMBARD ST,Non-Compliant
2950 FULTON ST,"Work Complete, CFC Issued"
1810 BUSH ST,"Work Complete, CFC Issued"
1075 VALENCIA ST,"Work Complete, CFC Issued"
30 CRESTLINE DR,"Work Complete, CFC Issued"
917 COLE ST,"Work Complete, CFC Issued"
1906 OCEAN AV,"Work Complete, CFC Issued"
3830 24TH ST,"Work Complete, CFC Issued"
3224 JUDAH ST,"Work Complete, CFC Issued"
254 IVY ST,"Permit Submitted, CFC Required by 9/15/20"
2800 BRYANT ST,Non-Compliant
1144 CLAY ST,"Permit Submitted, CFC Required by 9/15/20"
525 FILBERT ST,Non-Compliant
382 ELIZABETH ST,"Work Complete, CFC Issued"
3805 24TH ST,"Work Complete, CFC Issued"
740 MONTEREY BL,"Work Complete, CFC Issued"
1155 LEAVENWORTH ST,"Work Complete, CFC Issued"
2262 BRYANT ST,"Work Complete, CFC Issued"
246 26TH AV,"Work Complete, CFC Issued"
463 06TH AV,"Work Complete, CFC Issued"
1234 LARKIN ST,"Permit Submitted, CFC Required by 9/15/20"
4115 LINCOLN WY,"Work Complete, CFC Issued"
3044 FRANKLIN ST,"Work Complete, CFC Issued"
173 HAIGHT ST,"Permit Submitted, CFC Required by 9/15/20"
2107 LARKIN ST,"Work Complete, CFC Issued"
3315 MISSION ST,"Work Complete, CFC Issued"
2050 TARAVAL ST,"Permit Submitted, CFC Required by 9/15/20"
1614 VALLEJO ST,"Work Complete, CFC Issued"
2676 UNION ST,"Work Complete, CFC Issued"
1770 09TH AV,"Work Complete, CFC Issued"
14 WOODWARD ST,Non-Compliant
2155 BUCHANAN ST,"Work Complete, CFC Issued"
201 WALLER ST,Non-Compliant
828 ANZA ST,"Work Complete, CFC Issued"
387 SOUTH VAN NESS AV,"Work Complete, CFC Issued"
2241 JACKSON ST,Non-Compliant
605 SCOTT ST,"Work Complete, CFC Issued"
10 GARDENSIDE DR,"Work Complete, CFC Issued"
523 05TH AV,"Work Complete, CFC Issued"
3011 23RD ST,Non-Compliant
547 PAGE ST,"Work Complete, CFC Issued"
1667 HAIGHT ST,"Work Complete, CFC Issued"
125 CLAYTON ST,"Work Complete, CFC Issued"
1640 VALLEJO ST,"Work Complete, CFC Issued"
180 11TH AV,"Work Complete, CFC Issued"
140 JULIAN AV,"Work Complete, CFC Issued"
941 DOLORES ST,"Work Complete, CFC Issued"
3672 20TH ST,Non-Compliant
2023 FOLSOM ST,"Permit Submitted, CFC Required by 9/15/20"
479 FAIR OAKS ST,"Work Complete, CFC Issued"
744 CLEMENTINA ST,"Work Complete, CFC Issued"
1350 POWELL ST,"Work Complete, CFC Issued"
2921 WASHINGTON ST,Non-Compliant
2512 QUINT ST,Non-Compliant
813 KANSAS ST,"Work Complete, CFC Issued"
400 HAIGHT ST,"Work Complete, CFC Issued"
159 04TH AV,"Work Complete, CFC Issued"
238 SHRADER ST,"Work Complete, CFC Issued"
170 DOWNEY ST,"Work Complete, CFC Issued"
34 BUCHANAN ST,"Work Complete, CFC Issued"
626 CAPP ST,Non-Compliant
1807 BROADWAY,Non-Compliant
2306 UNION ST,"Permit Submitted, CFC Required by 9/15/20"
2400 WEBSTER ST,"Work Complete, CFC Issued"
2710 MARKET ST,"Work Complete, CFC Issued"
2760 SACRAMENTO ST,"Work Complete, CFC Issued"
192 VALLEY ST,"Work Complete, CFC Issued"
1367 HAYES ST,"Work Complete, CFC Issued"
854 14TH ST,"Work Complete, CFC Issued"
1521 CHESTNUT ST,"Work Complete, CFC Issued"
1226 CHURCH ST,Non-Compliant
1346 16TH AV,"Work Complete, CFC Issued"
547 DOLORES ST,"Permit Submitted, CFC Required by 9/15/20"
939 EDDY ST,Non-Compliant
1456 PAGE ST,Non-Compliant
264 SANCHEZ ST,"Work Complete, CFC Issued"
49 WALTER ST,"Permit Submitted, CFC Required by 9/15/20"
768 CHURCH ST,"Work Complete, CFC Issued"
1040 MASON ST,"Work Complete, CFC Issued"
675 COLE ST,"Work Complete, CFC Issued"
435 15TH AV,"Work Complete, CFC Issued"
625 ASHBURY ST,Non-Compliant
965 ALVARADO ST,"Work Complete, CFC Issued"
790 22ND AV,Non-Compliant
2225 WASHINGTON ST,"Work Complete, CFC Issued"
6600 GEARY BL,"Work Complete, CFC Issued"
100 PARKER AV,"Work Complete, CFC Issued"
1350 STOCKTON ST,"Work Complete, CFC Issued"
3380 21ST ST,"Work Complete, CFC Issued"
1661 BUSH ST,"Work Complete, CFC Issued"
851 GREENWICH ST,Non-Compliant
1415 SOUTH VAN NESS AV,Non-Compliant
750 PINE ST,"Work Complete, CFC Issued"
100 HAIGHT ST,"Work Complete, CFC Issued"
15 SAN ANTONIO PL,"Work Complete, CFC Issued"
3947 18TH ST,Non-Compliant
544 CLAYTON ST,Non-Compliant
4321 21ST ST,"Work Complete, No CFC Issued yet"
3037 HARRISON ST,"Work Complete, CFC Issued"
1640 GOLDEN GATE AV,"Work Complete, CFC Issued"
1916 FOLSOM ST,"Work Complete, CFC Issued"
1950 TAYLOR ST,"Work Complete, CFC Issued"
1414 GREENWICH ST,Non-Compliant
170 GRAYSTONE TR,"Work Complete, CFC Issued"
657 CLAYTON ST,"Work Complete, CFC Issued"
3715 CALIFORNIA ST,Non-Compliant
196 DUBOCE AV,"Work Complete, CFC Issued"
225 MALLORCA WY,"Work Complete, CFC Issued"
1301 45TH AV,Non-Compliant
801 25TH AV,"Work Complete, CFC Issued"
2 CRESTLINE DR,"Work Complete, CFC Issued"
3436 16TH ST,Non-Compliant
3110 OCTAVIA ST,"Permit Submitted, CFC Required by 9/15/20"
1626 CHESTNUT ST,"Work Complete, CFC Issued"
200 IRVING ST,"Work Complete, CFC Issued"
635 SCOTT ST,Non-Compliant
1895 CHESTNUT ST,"Work Complete, CFC Issued"
654 SOUTH VAN NESS AV,"Work Complete, CFC Issued"
2351 FILBERT ST,"Work Complete, CFC Issued"
785 SAN JOSE AV,"Work Complete, CFC Issued"
3294 CLAY ST,"Work Complete, CFC Issued"
415 TEHAMA ST,"Permit Submitted, CFC Required by 9/15/20"
425 UPPER TR,"Work Complete, CFC Issued"
711 CAPP ST,"Work Complete, CFC Issued"
510 PARKER AV,"Work Complete, CFC Issued"
44 GARDENSIDE DR,"Work Complete, CFC Issued"
1550 CLEMENT ST,Non-Compliant
332 CAPP ST,"Work Complete, CFC Issued"
1733 LAKE ST,"Work Complete, CFC Issued"
4715 BALBOA ST,"Work Complete, CFC Issued"
846 CAPP ST,"Work Complete, CFC Issued"
3430 GEARY BL,"Permit Submitted, CFC Required by 9/15/20"
1915 BUSH ST,"Work Complete, CFC Issued"
1311 SOUTH VAN NESS AV,"Work Complete, CFC Issued"
2237 FULTON ST,"Work Complete, CFC Issued"
1378 PACIFIC AV,"Permit Submitted, CFC Required by 9/15/20"
2160 PACIFIC AV,"Work Complete, CFC Issued"
1565 OAK ST,"Work Complete, CFC Issued"
211 LIBERTY ST,Non-Compliant
68 DIAMOND ST,Non-Compliant
374 25TH AV,"Work Complete, CFC Issued"
1086 POST ST,Non-Compliant
1132 HAIGHT ST,"Work Complete, CFC Issued"
2649 POLK ST,"Work Complete, CFC Issued"
178 ALBION ST,"Work Complete, CFC Issued"
465 GROVE ST,Non-Compliant
932 CABRILLO ST,"Work Complete, CFC Issued"
2725 VAN NESS AV,"Work Complete, CFC Issued"
2145 SCOTT ST,"Work Complete, CFC Issued"
175 PFEIFFER ST,"Work Complete, CFC Issued"
1547 LEAVENWORTH ST,"Work Complete, CFC Issued"
4314 17TH ST,"Work Complete, CFC Issued"
2750 SAN BRUNO AVE,"Permit Submitted, CFC Required by 9/15/20"
1618 POLK ST,"Permit Submitted, CFC Required by 9/15/20"
651 OAK ST,Non-Compliant
2119 JONES ST,"Work Complete, CFC Issued"
3032 16TH ST,"Permit Submitted, CFC Required by 9/15/20"
1885 JACKSON ST,Non-Compliant
1914 PINE ST,"Work Complete, CFC Issued"
2543 POST ST,Non-Compliant
3549 17TH ST,"Work Complete, CFC Issued"
1240 07TH AV,"Work Complete, CFC Issued"
1750 SACRAMENTO ST,Non-Compliant
3500 FULTON ST,"Work Complete, CFC Issued"
1409 SHRADER ST,Non-Compliant
1851 FULTON ST,Non-Compliant
240 ST JOSEPHS AV,"Work Complete, CFC Issued"
1249 04TH AV,"Work Complete, CFC Issued"
371 SAN JOSE AV,"Work Complete, CFC Issued"
695 38TH AV,Non-Compliant
351 GROVE ST,"Work Complete, CFC Issued"
1430 CLAY ST,"Work Complete, CFC Issued"
800 CORBETT AV,"Work Complete, CFC Issued"
1855 SACRAMENTO ST,"Work Complete, CFC Issued"
1870 WASHINGTON ST,"Work Complete, CFC Issued"
2332 TAYLOR ST,"Permit Submitted, CFC Required by 9/15/20"
479 SANCHEZ ST,"Work Complete, CFC Issued"
2450 CHESTNUT ST,"Permit Submitted, CFC Required by 9/15/20"
1140 HYDE ST,"Work Complete, CFC Issued"
22 PRECITA AV,"Work Complete, CFC Issued"
1375 SACRAMENTO ST,"Work Complete, CFC Issued"
2209 GOUGH ST,"Work Complete, CFC Issued"
559 24TH AV,"Work Complete, CFC Issued"
3860 26TH ST,Non-Compliant
1043 POWELL ST,"Work Complete, CFC Issued"
777 BAY ST,"Work Complete, CFC Issued"
311 GRAYSTONE TR,"Work Complete, CFC Issued"
3314 16TH ST,"Work Complete, CFC Issued"
1270 LA PLAYA,"Permit Submitted, CFC Required by 9/15/20"
157 OAK ST,"Work Complete, CFC Issued"
461 NOE ST,"Work Complete, No CFC Issued yet"
515 OCTAVIA ST,"Work Complete, CFC Issued"
1383 44TH AV,"Work Complete, CFC Issued"
141 RETIRO WY,"Permit Submitted, CFC Required by 9/15/20"
2861 CALIFORNIA ST,"Permit Submitted, CFC Required by 9/15/20"
1234 FRANCISCO ST,"Work Complete, CFC Issued"
401 UNION ST,"Work Complete, CFC Issued"
3101 SCOTT ST,"Work Complete, CFC Issued"
137 TIFFANY AV,"Work Complete, CFC Issued"
3324 BRODERICK ST,"Work Complete, CFC Issued"
1815 LEAVENWORTH ST,Non-Compliant
3101 CLAY ST,"Work Complete, CFC Issued"
40 TIFFANY AV,Non-Compliant
1821 OAK ST,"Work Complete, CFC Issued"
1733 MCALLISTER ST,"Work Complete, CFC Issued"
121 SHOTWELL ST,"Work Complete, CFC Issued"
936 SCOTT ST,"Work Complete, CFC Issued"
301 18TH AV,"Work Complete, CFC Issued"
1127 KEARNY ST,"Work Complete, CFC Issued"
1545 LARKIN ST,"Work Complete, CFC Issued"
505 26TH AV,"Work Complete, CFC Issued"
1000 GUERRERO ST,"Permit Submitted, CFC Required by 9/15/20"
356 12TH AV,"Work Complete, CFC Issued"
